Plant,URL,ScientificName,Type,MinHeight,MaxHeight,MinWidth,MaxWidth,FloweringMonths,Sun,Watering,MinRain,MaxRain,FlowerColor,Visuals,MinTemp,Soil,MinSoilpH,MaxSoilpH,CNPSDrainage,AttractsBees,AttractsButterflies,AttractsHummingbirds,AttractsSongbirds,Notes,Containers,MinElevation,MaxElevation,Counties,Image,
California box elder,http://calscape.org/Acer-negundo-(Box-Elder),Acer negundo,Tree,30,66,15,40,"Feb, Mar","Full, Partial",DroughtTolerant,11,49,NA,Golden fall foliage; Winter deciduous,-15,Tolerates a variety of soils as long as adequate moisture is present,5,8,"Medium, Slow",Yes,Yes,NA,Yes,"Other: brittle, weak wood but grows where other trees can't; leaves have preservative, can be used to pack fruit or root vegetables. Edible: Sap contains reasonable quantity of sugar, can be used in a drink or reduced to syrup. Seeds eaten by removing ""wings"" and boiling. Pollen can cause allergies.",NA,10,6320,1_11_11_1111_11_111_1_111_111_111111111111111_111111___111,1_box_elder,"https://upload.wikimedia.org/wikipedia/commons/e/e3/Acer_negundo_tree.jpg
https://upload.wikimedia.org/wikipedia/commons/4/4c/Acer_negundo_californicum_Tehachapi.jpg
https://upload.wikimedia.org/wikipedia/commons/5/56/Acer_negundo_aureovar_A.jpg"
Yarrow,http://calscape.org/Achillea-millefolium-(Common-Yarrow),Achillea millefolium,Perennial_herb,1.5,3,1.5,3,"Apr, May, Jun, Jul, Aug","Full, Partial","Occasional, Moderate",11,127,"White, Pink","White to pink flowers; Evergreen, summer deciduous, summer semi-deciduous",-10,Nearly any type except very wet. Because of its deep roots it has been used to control erosion.,4,8,"Fast, Medium, Slow",Yes,Yes,NA,NA,Edible: Aromatic tea is made from flowers and leaves. Can be used as a hop substitute in beer. Hazard: Extended use can cause rashes or photosensitivity; contains sedative compounds.,NA,-36,12005,111111111111_111111111111111111111111111111111111111111111,2_yarrow,"https://upload.wikimedia.org/wikipedia/commons/4/4d/Achillea_millefolium_20041012_2574.jpg
https://upload.wikimedia.org/wikipedia/commons/d/dc/Red_Achillea_millefolium.jpg
https://upload.wikimedia.org/wikipedia/commons/b/b8/Mp-Achillea_millefolium.jpg"
Southern maidenhair fern,http://calscape.org/Adiantum-capillus-veneris-(Southern-Maiden-Hair),Adiantum capillus-veneris,Fern,0.3,1.5,0.3,0.9,NA,"Partial, Shade","Occasional, Moderate, Regular",5,79,Textural,Textural,25,Tolerates clay but does best in moist loamy soil,4,8,Medium,NA,NA,NA,NA,"Edible:Fronds used as garnish on sweet dishes. Dried fronds used in tea. Syrup can be made from the plant. Other: This plant has been used for a variety of medical purposes, was the main ingredient in a popular cough syrup.",NA,3,7319,___1_____111_1____1_1111__1__1__1__11__1_11_1_1_11_____11_,3_adiantum_capillusveneris,"https://upload.wikimedia.org/wikipedia/commons/8/8a/Adiantum_capillus-veneris_habitus.jpg
https://upload.wikimedia.org/wikipedia/commons/8/86/Adiantum_capillus-veneris_%288%29.JPG
https://upload.wikimedia.org/wikipedia/commons/0/00/Common_maidenhair_%28Adiantum_capillus-veneris%29.jpg"
California maidenhair fern,http://calscape.org/Adiantum-jordanii-(California-Maiden-Hair-Fern),Adiantum jordanii,Fern,0.5,1.5,0.5,1.5,NA,"Partial, Shade","Occasional, Moderate, Regular",12,77,Textural,Textural,15,Tolerates sand or clay soils,5.5,8.2,Medium,NA,NA,NA,NA,"Edible:Fronds used as garnish on sweet dishes. Dried fronds used in tea. Syrup can be made from the plant. Other: This plant has been used for a variety of medical purposes, was the main ingredient in a popular cough syrup.",NA,-8,4907,1_11111_1_11__1_1_1_1111__11111_1111111111111__111111_111_,4_adiantum_jordanii,"https://upload.wikimedia.org/wikipedia/commons/8/89/Adiantum_jordanii_frond.jpg
https://c1.staticflickr.com/9/8664/16245570927_ef01614297_k.jpg
https://c1.staticflickr.com/4/3017/3249326592_01106e9c53_o.jpg"
California buckeye,http://calscape.org/Aesculus-californica-(California-Buckeye),Aesculus californica,Tree,9,40,15,40,"May, Jun, Jul","Full, Partial","DroughtTolerant, Infrequent, Occasional, Moderate, Regular",13,85,"White, Pink",White to pale rose flowers; deciduous late summer through winter,-5,Tolerates a variety of soils including clay,4,8,Medium,NA,Yes,Yes,NA,Hazard: All parts contain the neurotoxin aesculin. Native Americans used the nuts to stupefy fish. Saponins can be extracted and made into a soap substitute.,Yes,-11,6141,1_11111111_1__1_1_11111___11111_111__11111111__11111111_11,5_aesculus_californica,"https://upload.wikimedia.org/wikipedia/commons/9/95/Arboretum_des_barres--aesculus_californica_nutt--pavier_de_californie.JPG
https://upload.wikimedia.org/wikipedia/commons/6/6f/Aesculus_californica_flowers_Los_Trancos_CA.jpg
https://upload.wikimedia.org/wikipedia/commons/e/e4/Aesculus_californica_Mount_Diablo.jpg"
Spike bentgrass,http://calscape.org/Agrostis-exarata-(Spike-Bentgrass),Agrostis exarata,Grass,1,3,1,2,"May, Jun","Full, Partial","Occasional, Moderate",10,119,Textural,Textural,-10,Best on mineral soils,5.5,7.5,Unknown,NA,Yes,NA,NA,,NA,0,12863,111111111111_1111111111_1111111111111111111111111_11111111,6_agrostis_exarata,https://upload.wikimedia.org/wikipedia/commons/3/30/Agrostis_exarata.jpg
White alder,http://calscape.org/Alnus-rhombifolia-(White-Alder),Alnus rhombifolia,Tree,30,90,15,35,"Sep, Oct, Nov","Full, Partial",Regular,11,123,NA,Catkins; Winter deciduous,0,Tolerant of sand and clay,4,8,"Slow, Standing",NA,Yes,NA,Yes,Edible: Catkins can be eaten raw or cooked. Pollen may cause allergies. Hazard: Fresh inner bark is emetic. ,NA,3,8643,111111111111_11_11111111__111111111111111111111111_1111111,7_alnus_rhombifolia,"https://upload.wikimedia.org/wikipedia/commons/2/2b/Alnus_rhombifolia_San_Gabriel_River.jpg
https://upload.wikimedia.org/wikipedia/commons/9/92/East-Fort-San-Gabriel-River.jpg
https://upload.wikimedia.org/wikipedia/commons/a/a8/Alnus_rhombifolia-6.jpg"
Western columbine,http://calscape.org/Aquilegia-formosa-(Western-Columbine),Aquilegia formosa,Perennial_herb,0.3,2.6,0.6,1.5,"Mar, Apr, May","Full, Partial, Shade","Moderate, Regular",9,157,"Red, Orange, Yellow",Red to yellow flowers; Winter deciduous,0,Woodland soil with organic material and good drainage,4,8,Medium,Yes,Yes,Yes,NA,"Edible: Flowers eaten raw, rich in nectar. Spring greens cooked. Hazard: Although no records of toxicity have been seen for this species, it belongs to a family that contains a number of mildly toxic species, so be sure you have a Western Columbine before consuming. Other: Native Americans used this in a wide variety of medical applications. Seeds are aromatic, can be used in sachet or crushed and rubbed on as perfume.",Yes,5,12900,1111111111_1_11_1111111_11111_111_1111_1111111111__1111111,8_aquilegia_formosa,"https://upload.wikimedia.org/wikipedia/commons/6/60/Aquilegia_formosa_1.jpg
https://upload.wikimedia.org/wikipedia/commons/e/e0/Aquilegia_formosa_14962.JPG
https://upload.wikimedia.org/wikipedia/commons/c/c3/Aquilegia_formosa.jpg"
Pacific madrone,http://calscape.org/Arbutus-menziesii-(Madrone),Arbutus menziesii,Tree,15,100,5,25,"Apr, May","Full, Partial, Shade","DroughtTolerant, Infrequent, Occasional",21,119,"Pink, White",Showy pink or white flowers; Evergreen,10,Heavy,5,7,"Fast, Medium",Yes,Yes,Yes,Yes,"Edible: Berries can be eaten raw or cooked. Other: Wood very hard and strong, can be used for carving or furniture. Leaves have been used as poultice for burns or as astringent.",NA,10,6026,1_111_111__1____1_1_1_1___11111_1_1_11_1111111111___1_11_1,9_arbutus_menziesii,"https://c1.staticflickr.com/1/162/372957712_546c2a3e85_o.jpg
https://c1.staticflickr.com/1/159/372959476_48be1a4466_o.jpg
https://upload.wikimedia.org/wikipedia/commons/b/b3/Arbutus_menziesii_39044.JPG
https://upload.wikimedia.org/wikipedia/commons/4/46/Arbutus_menziesii_2725.JPG
https://upload.wikimedia.org/wikipedia/commons/1/1e/Arbutus_menziesii-3.jpg"
Brittle leaf manzanita,http://calscape.org/Arctostaphylos-crustacea-ssp.-crustacea-(Brittle-Leaf-Manzanita),Arctostaphylos crustacea,Bush,3,5,1.5,8,"Jan, Feb, Mar","Full, Partial","DroughtTolerant, Infrequent, Occasional",17,61,"White, Pink",White to pink flowers; Evergreen,20,In the wild it is most often seen growing in sand over hardpan,6,7,"Fast, Medium",Yes,NA,Yes,Yes,"Best in coastal areas, does not tolerate high interior heat so if this is your area then provide afternoon shade. Edible: Flowers steeped for tea. Green mature fruits soaked in boiling water, resulting juice ok for drink or jelly. Berries/dried fruits ground into pinole.",Yes,20,4312,1_____11__________1_1_1___11____1_1__1_11111______________,10_arctostaphylos_crustacea,"https://upload.wikimedia.org/wikipedia/commons/5/5b/Arctostaphylos_crustacea_kz2.jpg
https://upload.wikimedia.org/wikipedia/commons/6/62/Arctostaphylos_tomentosa_ssp._crustacea.jpg
https://c1.staticflickr.com/6/5781/20340550739_3c95ad585a_k.jpg"
